location_id,boro,building,street,zipcode,lat,long
19781,Queens,30-01,BROADWAY,11106,40.762,-73.926
19782,Queens,11210,101ST AVE,11419,40.688,-73.832
19783,Queens,16404,69TH AVE,11365,40.733,-73.805
19784,Queens,25317,NORTHERN BOULEVARD,11362,40.771,-73.735
19785,Queens,43-16,34 AVENUE,11101,40.755,-73.918
19786,Queens,37-19,JUNCTION BOULEVARD,11368,40.751,-73.871
19787,Queens,7618,WOODSIDE AVENUE,11373,40.743,-73.889
19788,Queens,11511,JAMAICA AVE,11418,40.699,-73.834
19789,Queens,2522,STEINWAY ST,11103,40.768,-73.912
19790,Queens,9520,101ST AVE,11416,40.685,-73.845
19791,Queens,10822,QUEENS BOULEVARD,11375,40.721,-73.843
19792,Queens,4030,162ND ST,11358,40.762,-73.804
19793,Queens,2919,24 AVENUE,11102,40.773,-73.916
19794,Queens,21510,NORTHERN BLVD,11361,40.761,-73.767
19795,Queens,19629,NORTHERN BOULEVARD,11358,40.758,-73.785
19796,Queens,13862,JAMAICA AVE,11435,40.703,-73.814
19797,Queens,126 ST,and ROOSEVELT AVENUE,0,0.0,0.0
19798,Queens,16108,CROSSBAY BLVD,11414,40.655,-73.839
19799,Queens,2579,STEINWAY ST,11103,40.768,-73.912
19800,Queens,9002,CORONA AVE,11373,40.742,-73.875
19801,Queens,21784,HEMPSTEAD AVE,11429,40.714,-73.739
19802,Queens,0,JFK INTL AIRPORT ERMINAL 1,11430,40.648,-73.788
19803,Queens,17801,UNION TURNPIKE,11366,40.726,-73.79
19804,Queens,5458,MYRTLE AVE,11385,40.7,-73.909
19805,Queens,11211,SPRINGFIELD BOULEVARD,11429,40.705,-73.74
19806,Queens,20423,HILLSIDE AVENUE,11423,40.72,-73.761
19807,Queens,7312,BELL BOULEVARD,11364,40.74,-73.758
19808,Queens,62-10,39 AVENUE,11377,40.747,-73.901
19809,Queens,3806,PRINCE ST,11354,40.76,-73.833
19810,Queens,4546,BELL BLVD,11361,40.759,-73.769
19811,Queens,67-20,ROCKAWAY BEACH BOULEVARD,11692,40.591,-73.796
19812,Queens,23436,MERRICK BOULEVARD,11422,40.674,-73.736
19813,Queens,8436,164TH ST,11432,40.714,-73.802
19814,Queens,17715,UNION TURNPIKE,11366,40.726,-73.791
19815,Queens,8505,NORTHERN BLVD,11372,40.756,-73.882
19816,Queens,9517,57TH AVE,11368,40.737,-73.866
19817,Queens,7908,COOPER AVE,11385,40.708,-73.872
19818,Queens,24501,FRANCIS LEWIS BOULEVARD,11422,40.665,-73.735
19819,Queens,16417,UNION TURNPIKE,11366,40.722,-73.804
19820,Queens,15335B,HILLSIDE AVE,11432,40.707,-73.804
19821,Queens,3310,ASTORIA BOULEVARD,11103,40.77,-73.916
19822,Queens,7411,ROOSEVELT AVE,11372,40.747,-73.891
19823,Queens,94-54,CORONA AVENUE,11373,40.742,-73.869
19824,Queens,48-07A,45 STREET,11377,40.739,-73.92
19825,Queens,10307,QUEENS BLVD,11375,40.725,-73.85
19826,Queens,42-17,102 STREET,11368,40.748,-73.863
19827,Queens,1933,MOTT AVE,11691,40.604,-73.752
19828,Queens,4516,48TH AVE,11377,40.739,-73.92
19829,Queens,21529,NORTHERN BOULEVARD,11361,40.761,-73.766
19830,Queens,4617,QUEENS BLVD,11104,40.743,-73.918
19831,Queens,21828,MERRICK BLVD,11413,40.68,-73.751
19832,Queens,NKA,JFK INTL ARPT,11430,40.648,-73.788
19833,Queens,1080,CYPRESS AVENUE,11385,40.697,-73.9
19834,Queens,9111,JAMAICA AVE,11421,40.693,-73.854
19835,Queens,10714,101ST AVE,11416,40.687,-73.836
19836,Queens,40-12,MAIN STREET,11354,40.759,-73.83
19837,Queens,10918,JAMAICA AVE,11418,40.696,-73.838
19838,Queens,147-16,45 AVENUE,11355,40.756,-73.815
19839,Queens,6107,UTOPIA PKWY,11365,40.739,-73.793
19840,Queens,4505,40TH ST,11104,40.743,-73.924
19841,Queens,4142,MAIN ST,11355,40.757,-73.829
19842,Queens,20102,NORTHERN BLVD,11361,40.758,-73.782
19843,Queens,4224,COLLEGE POINT BLVD,11355,40.754,-73.833
19844,Queens,2803,JACKSON AVE,11101,40.748,-73.939
19845,Queens,74-17,ROOSEVELT AVENUE,11372,40.747,-73.891
19846,Queens,10311,QUEENS BLVD,11375,40.725,-73.85
19847,Queens,2921,23RD AVE,11105,40.775,-73.914
19848,Queens,4205,162ND ST,11358,40.76,-73.804
19849,Queens,3602,31 STREET,11106,40.756,-73.93
19850,Queens,0,JFK INTERNATIONAL LLC,11430,40.648,-73.788
19851,Queens,4526,46TH ST,11104,40.742,-73.919
19852,Queens,16804,JAMAICA AVENUE,11432,40.706,-73.792
19853,Queens,9017,63RD DR,11374,40.726,-73.865
19854,Queens,4840,34TH ST,11101,40.74,-73.932
19855,Queens,11021,JAMAICA AVE,11418,40.697,-73.838
19856,Queens,21944,HILLSIDE AVENUE,11427,40.73,-73.744
19857,Queens,4346,46 STREET,11104,40.744,-73.919
19858,Queens,10721,71 AVENUE,11375,40.72,-73.845
19859,Queens,11520,ROCKAWAY BLVD,11420,40.677,-73.822
19860,Queens,9702,ROCKAWAY BEACH BLVD,11693,40.585,-73.819
19861,Queens,2301,41ST AVE,11101,40.753,-73.94
19862,Queens,4003,149TH PL,11354,40.763,-73.815
19863,Queens,4511,BROADWAY,11103,40.757,-73.915
19864,Queens,15059,34 AVENUE,11354,40.767,-73.813
19865,Queens,8917,NORTHERN BLVD,11372,40.756,-73.879
19866,Queens,3259,84 STREET,11370,40.756,-73.884
19867,Queens,2593,FRANCIS LEWIS BLVD,11358,40.773,-73.796
19868,Queens,6021,39TH AVE,11377,40.747,-73.903
19869,Queens,6008,KISSENA BLVD,11355,40.74,-73.815
19870,Queens,7523,31ST AVENUE,11370,40.759,-73.892
19871,Queens,5210,CENTER BLVD,11101,40.742,-73.96
19872,Queens,10707,JAMAICA AVENUE,11418,40.695,-73.84
19873,Queens,4806,BROADWAY,11103,40.756,-73.913
19874,Queens,9109,SPRINGFIELD BOULEVARD,11428,40.726,-73.74
19875,Queens,3718,MAIN ST,11354,40.761,-73.831
19876,Queens,3502,154TH ST,11354,40.766,-73.811
19877,Queens,69-09,ROOSEVELT AVENUE,11377,40.746,-73.896
19878,Queens,3212,31 STREET,11106,40.762,-73.926
19879,Queens,13509,LEFFERTS BLVD,11420,40.67,-73.821
19880,Queens,7130,ROOSEVELT AVE,11372,40.747,-73.894
19881,Queens,3331,FRANCIS LEWIS BLVD,11358,40.767,-73.79
19882,Queens,14718,NORTHERN BLVD,11354,40.765,-73.819
19883,Queens,985,WYCKOFF AVENUE,11385,40.696,-73.905
19884,Queens,2222,JACKSON AVE,11101,40.745,-73.947
19885,Queens,4480,21ST ST,11101,40.748,-73.948
19886,Queens,15726,NORTHERN BLVD,11354,40.764,-73.808
19887,Queens,3335,FRANCIS LEWIS BLVD,11358,40.767,-73.79
19888,Queens,2816,ASTORIA BOULEVARD,11102,40.771,-73.921
19889,Queens,1807,MOTT AVENUE,11691,40.603,-73.75
19890,Queens,26521,76 AVENUE,11004,40.751,-73.71
19891,Queens,1101,43RD AVE,11101,40.752,-73.948
19892,Queens,21305,75 AVENUE,11364,40.738,-73.759
19893,Queens,14004,QUEENS BLVD,11435,40.704,-73.815
19894,Queens,1527,149 STREET,11357,40.786,-73.816
19895,Queens,3302,36TH AVE,11106,40.756,-73.928
19896,Queens,1833,COLLEGE POINT BLVD,11356,40.783,-73.846
19897,Queens,3207,BROADWAY,11106,40.762,-73.924
19898,Queens,7167,YELLOWSTONE BOULEVARD,11375,40.721,-73.855
19899,Queens,3802,QUEENS BLVD,11101,40.744,-73.927
19900,Queens,5316,108TH ST,11368,40.743,-73.855
19901,Queens,261,BEACH   20 STREET,11691,40.596,-73.754
19902,Queens,13810,135TH AVE,11436,40.668,-73.8
19903,Queens,13801,QUEENS BLVD,11435,40.709,-73.819
19904,Queens,4404,21ST ST,11101,40.749,-73.947
19905,Queens,803,CYPRESS AVENUE,11385,40.7,-73.906
19906,Queens,17908,UNION TPKE,11366,40.727,-73.789
19907,Queens,1524,COLLEGE POINT BLVD,11356,40.784,-73.846
19908,Queens,4008,JUNCTION BLVD,11368,40.749,-73.869
19909,Queens,5527,108TH ST,11368,40.741,-73.854
19910,Queens,3937,43RD AVE,11104,40.746,-73.925
19911,Queens,2810,JACKSON AVE,11101,40.748,-73.939
19912,Queens,14915,JAMAICA AVE,11435,40.702,-73.805
19913,Queens,3380,QUEENS BLVD,11101,40.745,-73.931
19914,Queens,4,- JFK AIRPORT,0,0.0,0.0
19915,Queens,5124B,NORTHERN BLVD,11377,40.753,-73.908
19916,Queens,19922,HOLLIS AVE,11412,40.706,-73.758
19917,Queens,6935,ASTORIA BOULEVARD,11370,40.767,-73.9
19918,Queens,6729,MAIN ST,11367,40.734,-73.825
19919,Queens,2826,STEINWAY ST,11103,40.765,-73.914
19920,Queens,13631,ROOSEVELT AVE,11354,40.76,-73.829
19921,Queens,6692,FOREST AVE,11385,40.705,-73.902
19922,Queens,0,CENTRAL TERMINAL B,11369,0,0
19923,Queens,3511,35TH AVE,11106,40.757,-73.925
19924,Queens,12703,111TH AVE,11420,40.683,-73.814
19925,Queens,3144,STEINWAY STREET,11103,40.76,-73.918
19926,Queens,NKA,jfk internaional airport,11430,40.648,-73.788
19927,Queens,13117,LIBERTY AVENUE,11419,40.69,-73.815
19928,Queens,15029,CROSSBAY BLVD,11417,40.67,-73.843
19929,Queens,38-14,BROADWAY,11103,40.759,-73.92
19930,Queens,158-46,CROSSBAY BOULEVARD,11414,40.66,-73.84
19931,Queens,7610,WOODSIDE AVE,11373,40.743,-73.889
19932,Queens,10409,METROPOLITAN AVENUE,11375,40.71,-73.849
19933,Queens,83-31,BROADWAY,11373,40.741,-73.879
19934,Queens,7410,37TH RD,11372,40.747,-73.891
19935,Queens,210-23,JAMAICA AVENUE,11428,40.715,-73.75
19936,Queens,25218A,ROCKAWAY BLVD,11422,40.637,-73.741
19937,Queens,3113,36TH AVE,11106,40.756,-73.93
19938,Queens,13620,BOOTH MEMORIAL AVE,11355,40.747,-73.829
19939,Queens,12301,ROOSEVELT AVENUE,11368,40.755,-73.845
19940,Queens,8015,NORTHERN BLVD,11372,40.755,-73.887
19941,Queens,565,WOODWARD AVENUE,11385,40.707,-73.909
19942,Queens,45-72,KISSENA BOULEVARD,11355,40.751,-73.819
19943,Queens,4212,28TH ST,11101,40.75,-73.939
19944,Queens,5910,PUTNAM AVE,11385,40.705,-73.902
19945,Queens,13688,ROOSEVELT AVE,11354,40.76,-73.828
19946,Queens,12034,QUEENS BOULEVARD,11415,40.713,-73.829
19947,Queens,8012,37TH AVE,11372,40.75,-73.886
19948,Queens,10969,FRANCIS LEWIS BLVD,11429,40.707,-73.751
19949,Queens,11715,101ST AVE,11419,40.69,-73.827
19950,Queens,83-03,24 AVENUE,11370,40.765,-73.886
19951,Queens,20001,32 AVENUE,11361,40.77,-73.789
19952,Queens,24324,MERRICK BLVD,11422,40.674,-73.73
19953,Queens,11213,ROCKAWAY BLVD,11420,40.677,-73.826
19954,Queens,31-19,30 AVENUE,11102,40.767,-73.921
19955,Queens,8903,57 AVENUE,11373,40.735,-73.873
19956,Queens,7426,JAMAICA AVE,11421,40.691,-73.867
19957,Queens,21621,NORTHERN BLVD,11361,40.761,-73.765
19958,Queens,34-06,10 STREET,11106,40.765,-73.939
19959,Queens,16123,NORTHERN BLVD,11358,40.762,-73.804
19960,Queens,59-14,BEACH CHANNEL DRIVE,11692,40.594,-73.789
19961,Queens,6824,FRESH MEADOW LN,11365,40.733,-73.795
19962,Queens,153-41,ROCKAWAY BOULEVARD,11434,40.67,-73.783
19963,Queens,7501,101ST AVE,11416,40.68,-73.862
19964,Queens,21925,N CONDUIT AVE,11413,40.666,-73.757
19965,Queens,18304,HILLSIDE AVE,11432,40.714,-73.779
19966,Queens,4612,GREENPOINT AVE,11104,40.742,-73.919
19967,Queens,16819,UNION TPKE,11366,40.723,-73.8
19968,Queens,6005,KISSENA BLVD,11355,40.74,-73.815
19969,Queens,64-14,FRESH POND ROAD,11385,40.71,-73.899
19970,Queens,16910,HILLSIDE AVE,11432,40.711,-73.793
19971,Queens,98108,QUEENS BLVD,11374,40.727,-73.855
19972,Queens,8953,FRANCIS LEWIS BLVD,11427,40.719,-73.758
19973,Queens,1442,ASTORIA BLVD,11102,40.772,-73.929
19974,Queens,2828,STEINWAY ST,11103,40.765,-73.914
19975,Queens,14615,ROCKAWAY BLVD,11436,40.673,-73.791
19976,Queens,21709,LINDEN BLVD,11411,40.696,-73.742
19977,Queens,6926,MAIN ST,11367,40.731,-73.824
19978,Queens,18909,UNION TPKE,11366,40.73,-73.78
19979,Queens,69-42,GRAND AVENUE,11378,40.727,-73.894
19980,Queens,38-04,61 STREET,11377,40.748,-73.903
19981,Queens,3910,103RD ST,11368,40.75,-73.863
19982,Queens,146-36,45 AVENUE,11355,40.755,-73.816
19983,Queens,20510,48 AVENUE,11364,40.753,-73.775
19984,Queens,3078,STEINWAY ST,11103,40.762,-73.916
19985,Queens,20817,NORTHERN BLVD,11361,40.759,-73.775
19986,Queens,10610,37TH AVE,11368,40.754,-73.862
19987,Queens,4236,CRESCENT ST,11101,40.75,-73.941
19988,Queens,8613,NORTHERN BLVD,11372,40.756,-73.881
19989,Queens,14418,NORTHERN BLVD,11354,40.765,-73.823
19990,Queens,214,BEACH  116 STREET,11694,40.58,-73.837
19991,Queens,8991,217TH ST,11427,40.725,-73.745
19992,Queens,6011,ROOSEVELT AVE,11377,40.746,-73.904
19993,Queens,8609,ROOSEVELT AVE,11372,40.748,-73.88
19994,Queens,10220,CORONA AVE,11368,40.744,-73.861
